bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0151,0.0795045,81.57,80.3,83.19
0152,0.06457686,66.26,65.22,68.49
0153,0.0901883,92.53,91.09,93.72
0154,0.05163198,52.97,52.15,55.73
0155,0.0697172,71.53,70.41,73.55
0156,0.07629921,78.28,77.06,80.04
0157,0.06667167,68.41,67.34,70.55
0158,0.07414815,76.08,74.89,77.92
0159,0.07783965,79.86,78.62,81.55
0160,0.0762387,78.22,77.0,79.98
0161,0.08548135,87.7,86.34,89.08
0162,0.06557924,67.28,66.24,69.47
0163,0.0864351,88.68,87.3,90.02
0164,0.08256136,84.71,83.39,86.21
0165,0.07771448,79.74,78.49,81.43
0166,0.07255516,74.44,73.28,76.35
0167,0.07792513,79.95,78.7,81.64
0168,0.08462807,86.83,85.47,88.24
0169,0.08691831,89.18,87.79,90.5
0170,0.07601107,77.99,76.77,79.75
0171,0.06288722,64.52,63.52,66.82
0172,0.07640088,78.39,77.16,80.14
0173,0.06469317,66.38,65.34,68.6
0174,0.0618009,63.41,62.42,65.75
0175,0.06625266,67.98,66.92,70.14
0176,0.07544037,77.4,76.19,79.19
0177,0.06589054,67.6,66.55,69.78
0178,0.06886286,70.65,69.55,72.71
0179,0.08162595,83.75,82.44,85.28
0180,0.07230394,74.18,73.03,76.1
0181,0.07124257,73.09,71.95,75.05
0182,0.07171958,73.58,72.44,75.52
0183,0.06762911,69.39,68.31,71.49
0184,0.08466503,86.87,85.51,88.28
0185,0.08402494,86.21,84.87,87.65
0186,0.06551906,67.22,66.17,69.41
0187,0.090007,92.35,90.91,93.54
0188,0.07533298,77.29,76.09,79.08
0189,0.06520647,66.9,65.86,69.11
0190,0.06985183,71.67,70.55,73.68
0191,0.09605903,98.56,97.02,99.5
0192,0.06086942,62.45,61.48,64.83
0193,0.07140658,73.26,72.12,75.22
0194,0.08131321,83.43,82.13,84.98
0195,0.10253449,105.2,103.56,105.88
0196,0.08932585,91.65,90.22,92.87
0197,0.06911205,70.91,69.8,72.95
0198,0.07878451,80.83,79.57,82.48
0199,0.0773452,79.36,78.12,81.07
0200,0.07414213,76.07,74.88,77.91
0201,0.07450436,76.44,75.25,78.27
0202,0.06513196,66.83,65.78,69.03
0203,0.08626342,88.51,87.13,89.85
0204,0.06773474,69.5,68.41,71.6
0205,0.07541024,77.37,76.16,79.16
0206,0.06594708,67.66,66.61,69.84
0207,0.06688669,68.63,67.56,70.76
0208,0.09049352,92.85,91.4,94.02
0209,0.08254702,84.69,83.37,86.19
0210,0.06256074,64.19,63.19,66.5
0211,0.0736344,75.55,74.37,77.41
0212,0.0659401,67.65,66.6,69.83
0213,0.07829069,80.33,79.07,82.0
0214,0.07985678,81.93,80.66,83.54
0215,0.0694104,71.22,70.1,73.25
0216,0.05910817,60.64,59.7,63.1
0217,0.08280247,84.96,83.63,86.44
0218,0.07750614,79.52,78.28,81.22
0219,0.09938865,101.97,100.38,102.78
0220,0.06836965,70.15,69.05,72.22
0221,0.08519225,87.41,86.04,88.8
0222,0.0909416,93.31,91.85,94.46
0223,0.08931182,91.63,90.2,92.86
0224,0.07350147,75.41,74.24,77.28
0225,0.06402547,65.69,64.67,67.94
0226,0.06683346,68.57,67.5,70.71
0227,0.07790067,79.93,78.68,81.61
0228,0.08202837,84.16,82.85,85.68
0229,0.07022413,72.05,70.93,74.05
0230,0.07569027,77.66,76.45,79.44
0231,0.07476909,76.71,75.52,78.53
0232,0.05687701,58.36,57.45,60.9
0233,0.05863893,60.16,59.23,62.64
0234,0.08382893,86.01,84.67,87.45
0235,0.07476978,76.71,75.52,78.53
0236,0.07010686,71.93,70.81,73.93
0237,0.06766575,69.43,68.34,71.53
0238,0.07007176,71.89,70.77,73.9
0239,0.06504176,66.73,65.69,68.94
0240,0.08432849,86.52,85.17,87.95
0241,0.07882656,80.88,79.61,82.53
0242,0.07945773,81.52,80.25,83.15
0243,0.08689267,89.15,87.76,90.47
0244,0.06230191,63.92,62.92,66.25
0245,0.08052139,82.61,81.33,84.2
0246,0.06861411,70.4,69.3,72.46
0247,0.06073098,62.31,61.34,64.7
0248,0.05468181,56.1,55.23,58.74
0249,0.06012273,61.69,60.72,64.1
0250,0.06763939,69.4,68.32,71.5
0251,0.08229238,84.43,83.12,85.94
0252,0.08935629,91.68,90.25,92.9
0253,0.11432168,117.29,115.46,117.5
0254,0.06365361,65.31,64.29,67.58
0255,0.07084906,72.69,71.56,74.67
0256,0.08005826,82.14,80.86,83.74
0257,0.06983222,71.65,70.53,73.66
0258,0.0677633,69.53,68.44,71.63
0259,0.06838447,70.16,69.07,72.24
0260,0.06179315,63.4,62.41,65.74
0261,0.06661779,68.35,67.28,70.5
0262,0.04777776,49.02,48.26,51.94
