measurement_type,weight_kg,stature_cm,chest_girth_cm,waist_girth_cm,hips_buttock_girth_cm,gender,triceps_skinfold_mm,triceps_skinfold_mm_confidence,subscapular_skinfold_mm,subscapular_skinfold_mm_confidence,suprailiac_skinfold_mm,suprailiac_skinfold_mm_confidence,calf_skinfold_mm,calf_skinfold_mm_confidence,humerus_biepicondylar_breadth_cm,humerus_biepicondylar_breadth_cm_confidence,femur_biepicondylar_breadth_cm,femur_biepicondylar_breadth_cm_confidence,arm_circumference_flexed_cm,arm_circumference_flexed_cm_confidence,calf_circumference_cm,calf_circumference_cm_confidence
base,42.5,159.5,109.69,93.64,99.3,male,,,,,,,,,,,,,,,,
somatotype,,,,,,male,11.89,0.719,25.8,0.95,18.97,0.3,13.54,0.3,7.19,0.3,10.05,0.3,28.65,0.3,39.41,0.3
