bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
ANSURI_mal_0130,83.7,173.52,40.43,100.06,92.22,104.91,116.01,65.22,41.79,40.76,23.6,29.49,17.26,15.25,59.0,25.62,82.43,40.16,40.0,23.74,57.73,0.0,0.0
ANSURI_mal_0131,74.8,178.29,41.63,97.17,79.65,96.5,117.11,57.94,38.41,36.81,22.92,29.62,17.03,15.81,61.27,27.27,88.24,43.29,42.63,22.48,58.97,0.0,0.0
ANSURI_mal_0132,66.1,172.64,39.52,93.78,79.89,92.77,108.37,52.55,35.62,36.57,22.31,28.86,16.22,14.23,59.88,27.5,85.17,38.58,43.99,21.75,56.81,0.0,0.0
ANSURI_mal_0133,76.04,166.53,41.65,103.67,88.76,100.31,117.72,56.69,40.18,37.56,21.47,28.78,16.25,15.39,58.44,25.78,76.12,41.78,39.61,24.75,57.28,0.0,0.0
ANSURI_mal_0134,82.14,177.21,40.62,99.87,88.03,102.14,116.76,63.45,41.4,38.77,23.19,28.76,17.05,15.26,61.85,27.64,84.86,42.46,40.7,23.78,55.91,0.0,0.0
ANSURI_mal_0135,69.97,178.08,41.02,89.69,75.14,92.45,114.68,56.44,38.41,37.76,21.77,30.07,17.32,14.76,60.96,27.49,85.37,42.93,43.81,20.35,56.27,0.0,0.0
ANSURI_mal_0136,63.25,173.88,38.73,91.3,80.81,90.35,105.87,51.56,35.91,32.23,19.91,27.58,16.6,13.63,60.68,26.76,85.19,43.35,43.28,20.49,56.87,0.0,0.0
ANSURI_mal_0137,64.22,169.83,39.54,90.65,73.97,91.15,111.88,54.97,36.71,35.69,21.64,28.72,17.76,14.49,60.37,27.77,84.74,37.81,42.84,21.57,55.04,0.0,0.0
ANSURI_mal_0138,88.72,177.85,41.74,102.6,95.79,105.26,118.63,62.04,43.34,42.83,24.4,28.4,17.32,15.5,59.38,27.89,83.14,42.49,40.81,25.36,57.57,0.0,0.0
ANSURI_mal_0139,76.65,175.84,42.86,98.79,78.55,97.54,118.75,58.93,39.58,38.71,22.26,33.57,17.92,15.67,60.19,27.73,86.78,39.82,43.08,23.21,56.13,0.0,0.0
ANSURI_mal_0140,52.81,159.18,36.86,83.83,73.83,86.81,99.69,51.36,34.79,33.18,19.86,26.55,14.41,12.5,50.04,21.24,73.79,38.27,38.41,19.84,53.69,0.0,0.0
ANSURI_mal_0141,101.14,184.04,43.95,109.36,97.02,109.8,125.81,66.54,44.14,43.63,25.77,33.71,18.62,15.85,59.56,27.78,85.09,42.63,42.65,26.19,57.71,0.0,0.0
ANSURI_mal_0142,66.44,171.91,38.55,87.38,78.68,93.89,107.27,55.55,40.49,36.43,22.78,28.96,17.34,14.18,60.6,28.15,84.37,39.98,42.29,20.59,54.11,0.0,0.0
ANSURI_mal_0143,70.84,176.72,40.16,93.69,85.28,94.88,109.33,55.47,37.43,37.18,22.1,27.46,16.77,14.85,59.88,27.37,87.25,40.43,42.72,22.02,55.64,0.0,0.0
ANSURI_mal_0144,69.78,175.8,40.61,95.24,78.12,93.73,109.54,53.84,37.71,35.64,22.48,28.58,17.49,13.67,59.06,27.36,84.19,44.26,43.02,23.34,59.05,0.0,0.0
ANSURI_mal_0145,85.32,181.38,41.46,99.18,87.21,103.24,123.84,63.23,42.9,37.76,21.84,32.05,18.35,16.3,60.84,27.04,88.52,43.28,42.6,22.49,57.31,0.0,0.0
ANSURI_mal_0146,84.52,172.0,43.39,104.96,91.21,101.85,120.94,61.73,40.63,40.29,24.11,32.11,18.42,15.35,56.98,24.91,78.92,43.94,37.72,25.18,59.07,0.0,0.0
ANSURI_mal_0147,76.03,169.88,42.71,97.25,86.88,98.62,118.61,58.88,40.54,35.75,21.91,29.57,17.27,14.96,57.36,26.49,79.52,43.42,41.75,24.68,58.13,0.0,0.0
ANSURI_mal_0148,82.57,177.05,42.73,92.98,85.87,103.8,119.62,63.42,41.51,40.35,23.24,31.1,17.7,14.53,62.44,28.53,84.88,39.73,43.4,21.95,59.36,0.0,0.0
ANSURI_mal_0149,78.63,170.0,42.87,102.53,93.07,100.66,117.5,59.78,39.91,37.07,21.64,28.55,17.0,14.25,59.28,27.97,80.56,38.47,41.77,23.86,57.6,0.0,0.0
ANSURI_mal_0150,82.56,174.99,43.57,101.53,91.31,102.27,118.58,61.49,39.86,39.4,23.51,29.57,17.73,14.9,56.6,25.72,81.12,43.0,40.85,22.84,59.23,0.0,0.0
ANSURI_mal_0151,81.57,172.68,42.35,100.54,92.76,103.33,116.16,60.24,39.33,37.83,22.52,29.87,17.58,13.48,58.49,25.96,78.31,41.72,40.21,24.08,56.6,0.0,0.0
ANSURI_mal_0152,66.26,178.0,39.51,89.04,76.95,92.2,111.1,53.27,37.63,34.16,19.83,27.36,16.57,14.68,59.21,26.96,83.99,44.12,43.34,20.29,55.83,0.0,0.0
ANSURI_mal_0153,92.53,180.41,43.19,105.59,91.9,105.76,120.04,64.79,47.19,42.07,25.06,31.63,19.27,15.17,61.73,28.1,88.05,43.22,42.76,25.14,57.99,0.0,0.0
ANSURI_mal_0154,52.97,161.64,38.72,88.02,69.33,82.92,106.96,48.62,34.51,33.6,20.45,27.35,15.92,13.67,53.69,23.59,78.16,39.24,38.46,20.21,53.67,0.0,0.0
ANSURI_mal_0155,71.53,164.85,40.17,97.81,83.94,96.48,115.06,58.81,41.22,36.83,21.67,30.37,17.5,14.47,55.82,24.28,77.62,38.52,39.33,23.86,57.11,0.0,0.0
ANSURI_mal_0156,78.28,184.55,38.68,90.34,81.35,100.45,114.17,59.85,41.55,40.03,23.47,28.93,16.3,14.89,65.04,30.07,92.63,40.92,46.56,20.93,56.5,0.0,0.0
ANSURI_mal_0157,68.41,169.34,39.43,93.27,78.01,96.07,110.53,59.46,39.28,35.82,21.67,28.83,15.94,13.5,55.92,25.2,81.92,37.16,42.15,22.59,57.02,0.0,0.0
ANSURI_mal_0158,76.08,176.14,42.11,93.68,84.01,99.33,116.43,57.29,39.09,38.5,23.98,29.4,18.35,15.2,58.78,26.64,83.68,41.35,42.47,22.1,55.52,0.0,0.0
ANSURI_mal_0159,79.86,173.31,42.14,106.5,94.53,98.74,117.65,57.14,37.38,35.82,21.17,29.33,16.3,15.04,60.72,28.45,81.41,42.85,39.6,25.22,57.86,0.0,0.0
ANSURI_mal_0160,78.22,176.99,40.56,96.33,85.47,100.9,119.74,62.41,40.04,35.91,21.46,29.39,16.32,16.09,61.29,28.54,86.95,39.59,45.16,22.41,54.72,0.0,0.0
ANSURI_mal_0161,87.7,169.16,45.73,105.81,96.96,104.53,123.68,67.41,42.94,38.88,22.54,31.45,16.55,13.03,60.42,26.61,81.03,38.74,40.44,26.13,57.93,0.0,0.0
ANSURI_mal_0162,67.28,175.96,39.21,91.06,76.82,93.21,108.33,53.79,37.96,37.13,22.82,28.04,16.46,14.48,59.46,26.63,84.4,42.21,42.48,20.95,57.79,0.0,0.0
ANSURI_mal_0163,88.68,179.15,44.15,109.91,96.49,103.93,120.89,61.63,37.15,38.47,23.02,29.48,17.55,14.79,61.82,27.28,86.93,42.05,43.62,26.93,58.21,0.0,0.0
