stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
155.5,64.5,90.0,104.2,81.1,63.9,22.4,35.9,51.1,39.4,27.5
157.8,55.7,86.2,96.9,75.7,57.3,20.7,34.1,47.9,36.3,28.3
158.1,61.4,89.6,96.7,83.9,59.5,22.2,36.0,47.7,36.7,27.6
169.8,66.8,94.3,105.1,82.1,62.6,20.8,38.0,51.5,36.2,29.9
155.4,73.0,109.2,102.8,100.1,63.5,21.5,36.0,47.9,37.6,32.5
175.6,73.7,92.0,104.5,86.0,63.2,22.3,38.7,55.1,40.5,30.5
156.6,69.3,107.1,101.6,92.2,61.3,19.7,35.4,48.1,35.4,30.7
165.1,75.7,100.1,105.7,101.2,67.7,20.8,37.2,53.2,39.3,33.0
158.5,74.0,112.6,104.9,98.1,63.2,20.0,37.9,49.2,37.7,31.7
165.7,68.2,98.2,103.0,87.0,61.3,21.2,36.6,51.7,36.7,29.5
171.9,86.7,106.9,120.0,93.1,68.6,23.7,41.0,53.6,39.9,34.1
182.2,88.2,106.1,116.5,89.5,69.4,24.3,41.6,58.4,41.6,32.7
164.9,78.6,103.1,114.1,92.5,72.4,20.6,38.0,51.7,36.2,32.3
168.7,62.2,92.4,98.5,75.1,58.4,22.3,36.4,51.0,36.2,27.5
169.8,78.2,99.9,111.5,101.9,66.7,21.2,38.2,54.5,38.7,31.3
153.0,60.8,86.5,106.0,78.4,64.6,19.5,33.7,48.9,36.4,30.6
158.1,67.4,99.8,102.3,91.7,61.6,22.8,35.9,48.6,36.8,30.8
160.9,68.6,93.0,103.2,86.5,64.7,21.2,37.0,53.4,39.1,33.3
164.4,67.0,93.4,101.5,84.7,59.7,21.3,37.6,50.4,36.8,31.3
154.8,63.5,85.6,101.1,78.5,64.4,24.5,36.8,49.9,39.3,32.0
160.6,77.3,97.9,108.4,100.4,68.2,23.7,36.1,48.4,41.8,33.2
164.2,55.5,85.2,94.5,75.9,54.3,19.6,36.1,49.6,35.4,27.4
162.2,72.7,101.4,110.4,95.5,64.9,21.7,36.0,48.3,37.1,33.3
166.9,59.3,84.1,94.7,69.4,59.2,21.3,36.6,51.3,37.5,26.5
174.5,99.8,105.7,120.5,106.8,79.1,24.0,40.4,56.7,45.3,36.0
149.5,58.1,98.6,99.9,94.8,59.3,19.0,35.6,45.4,33.0,27.5
149.3,64.2,95.1,104.5,91.2,62.4,20.7,35.0,47.4,37.0,30.1
164.1,75.8,106.8,102.7,98.9,61.2,23.3,37.3,51.5,39.4,32.8
160.7,68.3,94.5,105.1,88.7,64.8,22.5,37.9,49.3,39.0,31.0
156.0,47.1,82.6,87.1,69.8,50.8,20.3,35.0,47.4,32.0,26.5
162.5,66.5,97.8,97.5,82.2,61.9,22.0,35.4,50.7,37.0,30.7
167.0,68.5,97.8,102.7,88.5,63.9,19.6,37.3,50.1,36.4,30.5
161.6,57.9,87.0,94.7,76.4,54.1,22.0,37.2,48.4,35.4,27.2
158.2,64.7,108.0,96.6,94.3,53.0,21.0,37.7,48.3,35.2,30.2
173.0,59.1,92.1,95.1,80.9,54.2,19.7,40.1,54.4,32.5,25.3
150.1,45.0,84.6,87.4,73.9,49.7,18.7,35.5,46.2,30.4,24.7
151.5,57.2,95.9,96.0,82.6,54.6,21.0,33.9,45.1,36.1,28.8
157.6,72.1,102.2,103.0,96.2,63.2,22.2,38.7,49.7,38.3,32.6
162.8,67.6,87.8,102.9,84.9,64.5,20.2,37.4,51.9,36.4,29.9
158.6,71.1,102.9,104.8,95.1,61.4,20.7,36.1,47.4,36.5,31.7
173.7,79.1,93.6,108.3,88.9,66.7,26.0,39.8,55.1,43.8,31.7
157.6,53.6,83.4,97.4,79.0,56.0,22.0,34.8,49.1,35.3,26.6
162.6,63.9,93.1,96.6,81.1,59.6,20.7,36.9,51.4,37.8,28.7
160.4,62.8,98.1,99.1,83.1,58.2,19.0,38.0,50.5,34.8,29.0
167.3,78.8,103.7,106.9,95.8,62.1,22.8,36.7,52.1,42.3,27.6
164.2,59.8,98.1,95.5,76.1,57.0,22.7,35.3,51.1,35.8,27.7
153.8,75.2,105.2,107.9,107.0,67.5,21.4,37.7,48.1,39.6,33.4
157.4,68.6,102.8,100.5,92.3,60.5,20.9,36.7,49.1,36.0,30.6
163.7,66.8,94.6,105.5,94.9,60.5,20.3,35.3,50.2,36.0,31.6
162.0,61.3,93.0,97.6,85.8,58.9,20.3,36.1,49.8,35.7,26.8
173.3,74.2,93.7,104.1,85.9,60.0,24.3,38.0,54.5,39.3,29.0
