Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1624,82.09,31.12563396,477,457,371.0,1070.0,976.0,1052,630,263,702.0,532,802,13.0,39.0,0.527093596,0.912149533,1.077868852
1702,82.99,28.64881435,499,448,347.0,1027.0,823.0,1017,639,258,815.0,556,876,7.5,18.0,0.502350176,0.801363194,1.235722965
1772,83.9,26.71988138,504,464,368.0,1041.0,853.0,1009,612,264,783.0,548,881,6.0,12.0,0.536117381,0.819404419,1.182883939
1802,66.44,20.4606794,467,394,352.0,950.0,758.0,920,549,252,817.0,562,858,9.0,8.5,0.532741398,0.797894737,1.213720317
1707,81.86,28.09342557,512,459,355.0,1017.0,867.0,1019,613,258,790.0,543,857,13.5,30.0,0.521968366,0.852507375,1.175317186
2005,124.04,30.85552951,563,530,415.0,1197.0,917.0,1158,739,316,920.0,671,1031,13.5,12.5,0.517206983,0.766081871,1.262813522
1914,109.75,29.9585412,556,524,411.0,1168.0,997.0,1155,717,294,948.0,637,990,12.0,27.0,0.489550679,0.85359589,1.158475426
1689,58.5,20.50673725,425,371,330.0,922.0,683.0,845,514,266,759.0,518,809,7.0,8.0,0.525754885,0.740780911,1.237188873
1872,93.65,26.72366955,499,454,367.0,1068.0,890.0,1021,658,280,887.0,606,906,15.5,19.0,0.497863248,0.833333333,1.147191011
1706,64.17,22.04824294,465,412,332.0,923.0,784.0,874,525,253,786.0,534,837,6.5,8.5,0.518171161,0.849404117,1.114795918
1850,73.02,21.33528123,497,428,332.0,944.0,767.0,921,548,261,877.0,586,958,6.0,11.0,0.48972973,0.8125,1.200782269
1816,88.21,26.74768092,530,447,397.0,1059.0,885.0,1058,620,278,849.0,582,858,11.0,16.0,0.525330396,0.835694051,1.195480226
1689,73.7,25.83498351,441,409,394.0,1028.0,850.0,974,585,274,766.0,537,827,13.0,9.0,0.518058022,0.826848249,1.145882353
1792,91.38,28.45608458,494,475,415.0,1116.0,982.0,1013,649,295,756.0,553,865,18.0,28.0,0.523995536,0.879928315,1.031568228
1790,70.07,21.86885553,459,415,353.0,960.0,799.0,900,537,283,784.0,563,850,6.0,12.5,0.527932961,0.832291667,1.12640801
