Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1849,107.03,31.30629715,535,486,411.0,1125.0,981.0,1165,685,283,873.0,600,885,14.5,29.0,0.503515414,0.872,1.18756371
1765,98.87,31.73767545,554,455,423.0,1142.0,978.0,1152,662,282,783.0,565,845,16.0,24.0,0.523512748,0.856392294,1.17791411
1872,78.46,22.38909891,456,402,379.0,1008.0,896.0,927,602,277,884.0,619,883,10.5,11.0,0.498931624,0.888888889,1.034598214
1772,87.98,28.01925105,508,492,372.0,1046.0,918.0,1088,596,262,801.0,573,843,14.0,24.0,0.522573363,0.877629063,1.185185185
1805,82.31,25.26377176,475,419,381.0,1033.0,836.0,1004,619,277,817.0,560,871,15.0,12.0,0.527423823,0.80929332,1.200956938
1642,57.82,21.445283,454,387,333.0,906.0,739.0,843,529,238,731.0,516,794,6.5,11.0,0.536540804,0.815673289,1.140730717
1674,79.14,28.24132955,501,452,380.0,1032.0,945.0,985,595,261,688.0,526,803,9.0,33.0,0.53823178,0.915697674,1.042328042
1751,80.05,26.10892821,506,454,376.0,1025.0,851.0,981,605,257,800.0,569,844,3.5,14.5,0.520845231,0.830243902,1.152761457
1838,86.62,25.64053988,501,431,390.0,1054.0,909.0,998,594,282,845.0,590,896,13.5,14.0,0.522306855,0.862428843,1.097909791
1811,98.87,30.14585692,521,465,399.0,1110.0,1023.0,1089,669,282,785.0,572,865,25.0,22.0,0.528437327,0.921621622,1.064516129
1876,123.58,35.11417933,578,528,422.0,1182.0,1224.0,1227,718,296,805.0,595,905,11.5,20.5,0.549040512,1.035532995,1.00245098
1686,73.47,25.8460928,479,407,359.0,1005.0,802.0,947,602,251,732.0,517,823,16.0,17.0,0.537366548,0.79800995,1.180798005
1774,110.43,35.08971502,568,545,428.0,1122.0,1068.0,1289,668,275,799.0,560,812,20.0,34.5,0.519165727,0.951871658,1.206928839
1772,77.55,24.69757808,510,433,377.0,1034.0,841.0,993,601,252,803.0,559,834,6.0,12.0,0.526523702,0.813346228,1.180737218
1746,71.43,23.43107269,481,424,356.0,984.0,795.0,960,578,267,764.0,539,818,4.0,7.0,0.5395189,0.807926829,1.20754717
1852,70.29,20.49328494,489,402,355.0,965.0,794.0,940,550,250,842.0,572,866,13.0,11.5,0.525917927,0.822797927,1.183879093
1784,82.09,25.79292264,533,465,363.0,1020.0,852.0,1056,614,267,807.0,550,883,6.5,12.5,0.52073991,0.835294118,1.23943662
1715,72.56,24.66999295,478,405,342.0,984.0,801.0,935,591,255,806.0,559,865,6.5,10.5,0.510204082,0.81402439,1.167290886
1620,61.68,23.50251486,471,416,337.0,963.0,761.0,906,571,249,716.0,495,778,5.0,13.0,0.536419753,0.790238837,1.190538765
1761,103.63,33.41694826,505,499,401.0,1111.0,1040.0,1146,652,286,796.0,565,831,15.0,36.0,0.511073254,0.936093609,1.101923077
1780,76.87,24.26145689,475,424,375.0,1024.0,859.0,957,599,267,814.0,570,866,9.5,12.0,0.51741573,0.838867188,1.114086147
1740,68.93,22.76720835,468,410,363.0,983.0,825.0,892,560,255,776.0,537,836,7.5,9.5,0.538505747,0.839267548,1.081212121
1760,78.0,25.18078512,467,429,376.0,1003.0,943.0,1049,570,254,784.0,558,821,12.0,16.0,0.51875,0.940179462,1.112407211
1828,86.62,25.92183827,505,482,370.0,1036.0,914.0,1009,615,269,815.0,580,875,10.0,18.0,0.528446389,0.882239382,1.103938731
1793,88.21,27.4383027,493,424,390.0,1086.0,937.0,1062,633,279,807.0,569,837,19.0,21.5,0.527049637,0.862799263,1.133404482
1756,84.58,27.42954841,515,440,384.0,1039.0,942.0,1062,629,272,759.0,549,822,11.0,21.0,0.508542141,0.906641001,1.127388535
1854,119.05,34.63458117,555,499,451.0,1179.0,1094.0,1206,731,291,824.0,602,879,16.0,29.5,0.523193096,0.927905004,1.1023766
1715,78.68,26.75075861,480,458,356.0,1017.0,845.0,992,636,259,768.0,544,841,7.0,19.0,0.521865889,0.830875123,1.173964497
1597,81.18,31.83018881,493,439,377.0,1055.0,915.0,974,622,259,675.0,493,777,13.0,20.5,0.550407013,0.867298578,1.064480874
1708,66.89,22.92901842,459,385,354.0,960.0,809.0,952,555,256,798.0,552,798,8.5,11.0,0.512880562,0.842708333,1.176761434
1820,101.13,30.530733,479,471,446.0,1156.0,991.0,1079,686,268,843.0,602,865,14.5,19.5,0.502197802,0.857266436,1.088799193
1752,70.07,22.82779237,476,430,329.0,924.0,771.0,998,548,254,785.0,538,826,8.5,10.0,0.537100457,0.834415584,1.294422827
1775,80.95,25.69331482,489,439,380.0,1011.0,877.0,1005,615,280,786.0,560,852,8.5,11.0,0.538591549,0.867457962,1.145952109
1910,83.67,22.93522656,517,436,375.0,1044.0,915.0,1014,600,275,876.0,596,908,11.5,14.5,0.521465969,0.876436782,1.108196721
1827,105.67,31.65735401,533,494,423.0,1152.0,1033.0,1149,650,283,818.0,596,886,14.0,27.0,0.516146689,0.896701389,1.112294288
1839,101.81,30.10419226,515,450,410.0,1120.0,993.0,1139,655,289,811.0,579,860,12.5,28.0,0.516041327,0.886607143,1.147029204
1793,88.66,27.57827817,512,439,405.0,1093.0,874.0,1071,670,283,816.0,560,882,10.5,11.0,0.525934189,0.799634035,1.225400458
1765,95.01,30.49859962,507,459,392.0,1072.0,1033.0,1022,654,275,774.0,566,855,13.0,22.5,0.511614731,0.963619403,0.989351404
1689,65.08,22.81330701,441,393,367.0,961.0,782.0,883,586,263,757.0,528,807,9.5,6.5,0.528715216,0.813735692,1.12915601
1730,74.15,24.77530155,480,400,378.0,976.0,843.0,961,567,265,761.0,543,835,10.0,10.0,0.523121387,0.863729508,1.139976275
1712,67.57,23.05400581,473,392,365.0,983.0,839.0,939,570,249,764.0,544,833,10.0,11.5,0.526869159,0.853509664,1.119189511
1740,77.32,25.53838024,509,464,350.0,976.0,856.0,1039,558,267,770.0,548,837,8.0,12.0,0.526436782,0.87704918,1.213785047
1777,88.21,27.93463277,494,471,398.0,1071.0,929.0,1026,642,281,786.0,562,832,10.0,15.0,0.520540236,0.867413632,1.104413348
1688,69.39,24.35297388,455,405,330.0,954.0,754.0,962,565,261,759.0,535,797,4.5,9.0,0.530805687,0.790356394,1.275862069
1566,63.72,25.98317699,440,411,356.0,966.0,812.0,926,570,244,670.0,475,741,16.0,17.5,0.540229885,0.84057971,1.140394089
1869,85.71,24.53651578,503,492,380.0,1040.0,890.0,1036,607,266,860.0,585,847,3.5,13.0,0.523274478,0.855769231,1.164044944
1674,86.85,30.99266453,507,459,400.0,1134.0,894.0,1002,686,269,725.0,521,793,23.0,31.0,0.529271207,0.788359788,1.120805369
1805,83.67,25.68120257,523,446,373.0,1044.0,787.0,994,625,267,803.0,543,877,6.5,9.5,0.536842105,0.753831418,1.263024142
1742,92.06,30.33714234,506,465,405.0,1121.0,1030.0,1102,620,254,749.0,539,845,13.0,31.0,0.526406429,0.91882248,1.069902913
1901,101.13,27.98438542,533,469,429.0,1127.0,1016.0,1107,656,274,867.0,609,882,12.0,28.5,0.510257759,0.901508429,1.089566929
1836,99.55,29.53220746,533,468,391.0,1074.0,919.0,1108,655,287,781.0,570,872,10.5,18.0,0.534313725,0.855679702,1.205658324
1657,79.14,28.82378629,486,440,365.0,1010.0,881.0,997,626,251,719.0,516,823,8.0,14.5,0.537115269,0.872277228,1.131668558
1847,95.69,28.04999342,529,471,390.0,1078.0,935.0,1129,625,278,856.0,598,910,11.0,12.5,0.505143476,0.867346939,1.207486631
1825,80.27,24.10058172,516,451,351.0,967.0,805.0,1014,591,263,842.0,577,897,3.0,6.0,0.521643836,0.832471562,1.259627329
1928,74.6,20.06895542,448,437,378.0,989.0,823.0,945,550,273,891.0,622,907,9.0,7.0,0.518153527,0.832153691,1.148238153
1692,73.47,25.66311218,488,429,344.0,972.0,837.0,999,581,246,751.0,525,832,8.0,13.5,0.5313238769999999,0.861111111,1.193548387
1849,87.98,25.73416821,485,451,409.0,1076.0,926.0,1042,610,277,846.0,591,890,14.0,20.0,0.510546241,0.860594796,1.125269978
1615,68.03,26.08287245,482,434,362.0,979.0,805.0,985,559,241,701.0,490,830,11.0,10.5,0.540557276,0.82226762,1.223602484
1766,126.53,40.57066343,590,529,446.0,1189.0,1311.0,1314,728,273,741.0,557,871,15.0,34.0,0.51585504,1.102607233,1.00228833
1781,78.0,24.59046628,485,428,366.0,983.0,882.0,1009,575,259,833.0,576,853,13.0,25.5,0.501403706,0.897253306,1.14399093
1806,87.98,26.97419332,498,482,397.0,1075.0,984.0,1021,599,263,806.0,566,826,8.5,12.5,0.523255814,0.915348837,1.037601626
1741,75.28,24.83602385,468,427,371.0,1035.0,786.0,979,591,260,763.0,537,793,11.0,8.0,0.535324526,0.75942029,1.245547074
1864,90.25,25.97499033,532,475,386.0,1054.0,903.0,1085,610,275,870.0,584,885,7.5,16.0,0.517167382,0.856736243,1.201550388
1755,88.21,28.63937793,516,459,385.0,1054.0,935.0,1059,662,252,794.0,554,860,13.0,24.0,0.528774929,0.887096774,1.132620321
1665,75.51,27.23804886,514,422,365.0,999.0,856.0,992,613,251,712.0,507,816,13.5,23.5,0.544744745,0.856856857,1.158878505
1921,90.48,24.51872384,487,452,390.0,1069.0,911.0,1017,611,273,872.0,601,911,11.0,16.5,0.531494014,0.852198316,1.116355653
1678,77.1,27.3823341,515,438,368.0,1000.0,856.0,1039,603,258,746.0,521,834,7.5,14.0,0.532181168,0.856,1.213785047
1771,85.49,27.25700882,480,447,380.0,1081.0,899.0,1042,614,266,806.0,571,846,9.0,11.0,0.522868436,0.831637373,1.159065628
1722,77.78,26.23020257,491,411,359.0,999.0,911.0,1006,580,265,776.0,548,836,10.5,9.0,0.526132404,0.911911912,1.10428101
1771,85.49,27.25700882,480,447,380.0,1081.0,899.0,1042,614,266,806.0,571,846,9.0,11.0,0.522868436,0.831637373,1.159065628
1783,99.32,31.24165445,525,450,395.0,1086.0,998.0,1184,624,281,804.0,568,878,13.5,26.0,0.510936624,0.918968692,1.186372745
1712,82.54,28.16157525,527,451,376.0,1060.0,886.0,1118,620,268,745.0,522,834,3.5,5.0,0.536799065,0.835849057,1.261851016
1904,90.93,25.08264335,524,473,381.0,1064.0,854.0,1037,615,284,836.0,588,927,7.5,14.0,0.538865546,0.802631579,1.214285714
1819,95.24,28.7841884,526,462,395.0,1088.0,906.0,1080,675,279,841.0,574,886,15.0,17.5,0.516767455,0.832720588,1.19205298
1950,106.58,28.02892834,537,504,431.0,1109.0,948.0,1113,692,279,915.0,623,924,10.0,18.5,0.516923077,0.854824166,1.174050633
1776,80.73,25.59464025,511,443,377.0,1023.0,849.0,1019,600,289,797.0,562,886,7.0,6.5,0.524774775,0.829912023,1.200235571
1800,80.73,24.91666667,478,423,377.0,1019.0,859.0,989,615,273,826.0,573,844,12.0,16.5,0.518333333,0.842983317,1.151338766
1754,80.73,26.24072165,503,416,368.0,999.0,896.0,1034,589,257,777.0,556,861,11.0,14.0,0.535347777,0.896896897,1.154017857
1794,85.49,26.56259127,493,445,380.0,1046.0,948.0,985,614,261,782.0,548,850,6.5,12.0,0.530100334,0.906309751,1.039029536
1794,80.05,24.87232929,505,437,360.0,1012.0,831.0,1013,612,254,818.0,557,876,6.5,11.0,0.522296544,0.821146245,1.219013237
1833,95.69,28.48010753,506,471,402.0,1069.0,995.0,1054,611,276,823.0,595,886,13.5,16.0,0.514457174,0.930776427,1.059296482
1770,79.14,25.26094034,517,451,362.0,1015.0,812.0,1001,599,258,825.0,562,855,4.5,11.0,0.514124294,0.8,1.232758621
1775,103.63,32.89188653,537,485,412.0,1119.0,1025.0,1177,674,266,819.0,567,898,9.0,36.0,0.511549296,0.915996425,1.148292683
1685,97.05,34.18186301,533,480,406.0,1082.0,1097.0,1212,661,265,749.0,561,839,11.0,31.0,0.527596439,1.013863216,1.104831358
1698,70.52,24.45890058,470,434,343.0,972.0,787.0,900,585,258,756.0,537,827,4.5,6.0,0.534746761,0.809670782,1.143583227
1862,85.49,24.65789301,517,468,374.0,1035.0,879.0,1012,619,275,871.0,598,891,12.0,10.0,0.509129968,0.849275362,1.151308305
1822,79.37,23.90890217,488,425,374.0,1024.0,844.0,1011,596,277,823.0,575,869,9.0,10.5,0.525795829,0.82421875,1.197867299
1813,98.87,30.07938316,528,523,415.0,1114.0,972.0,1126,675,274,811.0,590,885,3.5,25.5,0.530612245,0.872531418,1.158436214
1719,68.03,23.02230046,465,343,339.0,936.0,801.0,961,555,251,784.0,534,821,8.5,14.5,0.523560209,0.855769231,1.199750312
1746,66.44,21.79421069,479,400,359.0,955.0,822.0,955,534,248,777.0,537,831,11.0,15.0,0.536655212,0.860732984,1.161800487
1775,77.78,24.68716524,482,436,363.0,1019.0,804.0,1014,615,268,774.0,555,812,6.0,8.5,0.538591549,0.789008832,1.26119403
1855,83.45,24.25149483,489,441,400.0,1082.0,921.0,1007,616,265,847.0,585,869,9.5,14.0,0.524528302,0.851201479,1.093376764
1775,62.36,19.79289823,459,396,329.0,900.0,720.0,852,535,256,813.0,543,856,5.0,7.0,0.522253521,0.8,1.183333333
1737,94.33,31.26440713,533,461,373.0,1051.0,927.0,1152,617,259,758.0,549,843,21.5,29.0,0.533678756,0.882017127,1.242718447
1805,75.96,23.31473822,498,435,358.0,993.0,804.0,980,574,269,826.0,565,862,4.5,12.0,0.516897507,0.809667674,1.218905473
1852,90.7,26.44388881,520,461,375.0,1062.0,876.0,1044,649,283,854.0,580,865,5.0,16.5,0.516738661,0.824858757,1.191780822
1886,85.03,23.90500299,488,452,398.0,1065.0,872.0,979,604,281,869.0,598,900,11.0,9.0,0.520148462,0.818779343,1.122706422
1785,106.12,33.30587137,562,462,416.0,1140.0,1022.0,1169,676,277,774.0,571,881,18.0,32.0,0.53557423,0.896491228,1.143835616
1812,115.19,35.08313476,544,508,421.0,1181.0,992.0,1121,723,288,804.0,579,866,15.5,25.5,0.534216336,0.83996613,1.130040323
1854,88.66,25.79338065,510,457,391.0,1069.0,881.0,1021,607,277,831.0,587,889,8.0,12.5,0.529126214,0.824134705,1.158910329
1781,91.16,28.7393193,514,444,415.0,1116.0,943.0,1078,654,268,809.0,565,881,14.0,18.0,0.518248175,0.844982079,1.143160127
1749,71.88,23.49786744,454,431,357.0,956.0,838.0,963,577,259,824.0,570,848,5.5,9.5,0.50485992,0.876569038,1.149164678
1749,63.72,20.8303299,459,403,343.0,950.0,801.0,941,548,246,822.0,565,817,10.0,9.5,0.510005718,0.843157895,1.174781523
1813,119.73,36.42565537,558,521,435.0,1194.0,1052.0,1224,722,292,776.0,583,895,23.0,31.5,0.535576393,0.881072027,1.163498099
1876,84.35,23.96731693,510,423,381.0,1025.0,885.0,980,581,285,889.0,602,903,9.5,13.0,0.509061834,0.863414634,1.107344633
1730,63.49,21.21353871,469,401,320.0,892.0,744.0,919,518,248,787.0,538,841,4.0,6.0,0.531213873,0.834080717,1.235215054
1717,73.7,24.99924527,495,452,357.0,1015.0,786.0,991,631,248,704.0,513,796,7.5,14.5,0.557949913,0.774384236,1.260814249
1759,76.87,24.84421061,481,415,394.0,1069.0,852.0,963,643,267,805.0,563,859,13.5,18.0,0.518476407,0.797006548,1.13028169
1765,97.05,31.15344799,532,523,382.0,1072.0,1042.0,1111,665,266,796.0,565,860,6.0,13.0,0.52407932,0.972014925,1.06621881
1817,117.23,35.50822068,538,494,455.0,1207.0,1151.0,1204,731,265,765.0,558,846,9.5,23.5,0.539350578,0.953603977,1.046046916
1800,112.47,34.71296296,525,491,430.0,1130.0,1134.0,1114,685,278,806.0,586,859,14.0,32.5,0.515555556,1.003539823,0.982363316
1810,78.0,23.80879705,499,443,388.0,1019.0,827.0,980,590,278,829.0,570,863,8.5,10.5,0.527071823,0.81157998,1.185006046
1792,107.48,33.4696867,541,492,408.0,1123.0,1034.0,1154,639,281,805.0,599,895,9.5,31.0,0.516741071,0.920747996,1.116054159
1657,69.61,25.35284008,467,421,351.0,969.0,860.0,974,568,258,758.0,533,813,7.0,9.0,0.524441762,0.8875129,1.13255814
1781,88.21,27.80929526,505,478,386.0,1056.0,891.0,1076,634,251,821.0,581,864,20.5,19.5,0.515440764,0.84375,1.207631874
1832,85.94,25.6061574,508,444,379.0,1060.0,918.0,1005,642,256,835.0,581,848,9.0,11.5,0.52128821,0.866037736,1.094771242
1719,86.39,29.23558044,494,462,407.0,1061.0,891.0,1076,627,251,781.0,550,850,13.0,19.0,0.513089005,0.839773798,1.207631874
1831,99.55,29.69371773,540,479,401.0,1123.0,923.0,1107,688,270,826.0,587,877,16.0,18.5,0.531403605,0.82190561,1.199349946
1741,78.46,25.8851545,491,445,361.0,981.0,873.0,1014,569,271,781.0,556,857,7.5,12.5,0.520964963,0.889908257,1.161512027
1810,93.88,28.65602393,514,451,417.0,1112.0,894.0,1113,671,278,819.0,576,851,10.5,14.0,0.524861878,0.803956835,1.244966443
1860,103.17,29.82136663,496,476,398.0,1052.0,1060.0,1092,615,300,843.0,599,894,7.5,23.0,0.510215054,1.007604563,1.030188679
1728,77.32,25.89431156,484,438,378.0,1023.0,905.0,1004,611,249,761.0,528,813,14.5,16.0,0.545138889,0.884652981,1.109392265
1907,102.27,28.12204312,529,454,407.0,1112.0,1001.0,1155,657,271,875.0,615,946,13.0,25.0,0.51494494,0.900179856,1.153846154
1791,76.87,23.96435306,460,425,380.0,1043.0,865.0,939,628,257,820.0,558,853,12.0,11.0,0.514237856,0.829338447,1.085549133
1821,89.34,26.9417658,494,432,386.0,1059.0,1026.0,1052,604,262,849.0,583,896,16.0,17.0,0.501372872,0.968838527,1.025341131
1725,70.52,23.69922285,500,414,363.0,972.0,791.0,940,572,253,754.0,522,850,12.5,9.5,0.544347826,0.813786008,1.188369153
1717,80.5,27.30582421,490,441,361.0,994.0,888.0,1032,591,273,766.0,540,867,8.5,16.0,0.528829354,0.893360161,1.162162162
1770,108.16,34.52392352,533,494,424.0,1171.0,1129.0,1169,654,277,798.0,573,867,16.0,25.0,0.506214689,0.964133219,1.035429584
1600,75.28,29.40625,467,424,350.0,997.0,901.0,1017,574,244,673.0,492,772,6.5,17.0,0.545625,0.903711133,1.128745838
1711,65.99,22.5412559,462,391,330.0,935.0,789.0,934,564,248,774.0,537,827,4.5,6.5,0.525423729,0.843850267,1.183776933
1665,71.43,25.76630685,480,425,360.0,993.0,836.0,976,585,262,726.0,518,788,8.0,13.0,0.533333333,0.841893253,1.167464115
1798,84.58,26.16304607,507,437,394.0,1062.0,885.0,1055,608,258,836.0,583,864,13.5,17.5,0.513348165,0.833333333,1.192090395
1815,83.45,25.33221016,486,444,376.0,1039.0,852.0,999,615,281,848.0,580,867,6.0,9.0,0.513498623,0.820019249,1.172535211
1812,86.39,26.31158965,523,448,412.0,1052.0,925.0,1050,639,289,827.0,567,864,4.5,14.0,0.521523179,0.879277567,1.135135135
1714,76.87,26.16587401,480,418,389.0,1031.0,906.0,966,598,253,760.0,539,846,15.0,19.0,0.525087515,0.878758487,1.066225166
1805,85.94,26.37794369,490,451,392.0,1067.0,924.0,1034,605,272,800.0,575,863,11.5,12.0,0.520221607,0.865979381,1.119047619
1780,75.96,23.97424568,487,439,356.0,976.0,878.0,984,575,276,815.0,570,857,9.5,8.5,0.519662921,0.899590164,1.120728929
1752,102.27,33.31808657,545,485,428.0,1142.0,1052.0,1144,670,276,759.0,564,858,28.5,42.0,0.523401826,0.921190893,1.087452471
1795,97.28,30.1921928,497,496,417.0,1128.0,1003.0,1071,655,271,790.0,570,851,16.5,27.0,0.528133705,0.889184397,1.06779661
1779,106.58,33.67625735,542,484,414.0,1167.0,996.0,1177,694,272,772.0,564,870,11.0,21.0,0.522203485,0.853470437,1.181726908
1732,70.29,23.43137464,472,441,355.0,958.0,852.0,979,532,242,788.0,542,856,12.5,13.5,0.517321016,0.889352818,1.149061033
1826,56.24,16.86722995,441,365,332.0,873.0,723.0,804,479,254,844.0,560,843,4.0,6.5,0.514786418,0.828178694,1.112033195
1699,96.83,33.54464299,525,487,399.0,1103.0,1010.0,1164,639,266,721.0,523,847,7.0,22.0,0.529134785,0.915684497,1.152475248
1754,88.66,28.81831266,498,471,366.0,1010.0,909.0,1066,590,266,770.0,555,845,9.5,16.5,0.509692132,0.9,1.172717272
1765,92.06,29.55163752,528,459,379.0,1052.0,946.0,1143,606,260,778.0,555,858,7.0,20.0,0.526912181,0.899239544,1.208245243
1796,56.01,17.36412518,442,369,330.0,910.0,755.0,792,496,247,812.0,542,853,2.0,4.0,0.530066815,0.82967033,1.049006623
1705,108.39,37.28554106,534,524,427.0,1153.0,1145.0,1194,667,288,714.0,547,842,10.0,25.0,0.526686217,0.993061578,1.04279476
1760,72.56,23.42458678,457,444,344.0,947.0,796.0,968,570,270,797.0,561,827,7.5,6.5,0.513636364,0.840549102,1.216080402
1795,97.05,30.12080912,533,464,376.0,1050.0,978.0,1126,621,275,770.0,566,858,15.0,21.5,0.512534819,0.931428571,1.151329243
1744,87.07,28.62698321,511,442,382.0,1054.0,939.0,1052,634,274,772.0,560,840,12.0,20.0,0.524082569,0.890891841,1.120340788
1735,79.37,26.36679982,494,427,353.0,984.0,882.0,1018,605,253,766.0,545,850,11.0,14.0,0.520461095,0.896341463,1.154195011
1982,87.07,22.1646687,495,455,402.0,1060.0,892.0,1016,575,286,948.0,640,922,12.5,13.5,0.505045409,0.841509434,1.139013453
1722,89.8,30.2837772,525,456,393.0,1081.0,908.0,1102,661,273,731.0,534,846,20.5,31.5,0.535423926,0.839962997,1.213656388
1791,81.63,25.44829115,484,438,380.0,1038.0,866.0,962,631,278,827.0,566,900,13.0,12.0,0.514796203,0.834296724,1.110854503
1720,80.27,27.13290968,499,441,369.0,1014.0,903.0,1029,592,257,773.0,554,851,12.5,22.0,0.523255814,0.890532544,1.139534884
1775,78.46,24.90299544,491,442,390.0,1052.0,799.0,976,612,261,791.0,553,821,6.0,8.5,0.529014085,0.759505703,1.221526909
1801,159.86,49.28473015,647,579,537.0,1616.0,1653.0,1574,821,326,711.0,574,882,32.0,54.0,0.526929484,1.02289604,0.952208106
1837,97.05,28.75922822,507,478,386.0,1066.0,1003.0,1093,580,278,801.0,566,885,8.0,18.0,0.5318454,0.940900563,1.089730808
1791,94.33,29.40753772,493,448,403.0,1097.0,1012.0,1056,668,283,791.0,566,843,10.5,14.5,0.527638191,0.922515953,1.043478261
1878,108.39,30.73251062,517,475,468.0,1211.0,1095.0,1158,696,272,856.0,609,915,14.0,27.0,0.511182109,0.904211396,1.057534247
1740,80.27,26.51274937,498,462,372.0,1014.0,877.0,967,622,262,781.0,533,821,17.0,18.0,0.522988506,0.864891519,1.102622577
1883,91.38,25.77214189,522,461,387.0,1043.0,914.0,1054,625,266,861.0,594,892,6.5,14.0,0.51566649,0.876318313,1.153172867
1787,120.63,37.7751522,550,528,437.0,1193.0,1089.0,1235,765,282,753.0,565,856,28.0,35.0,0.548964745,0.912824811,1.134067952
1822,73.02,21.99606951,503,446,328.0,895.0,825.0,998,505,269,829.0,558,871,4.5,9.0,0.529637761,0.921787709,1.20969697
1645,71.43,26.39665192,474,412,384.0,1033.0,817.0,964,628,258,755.0,534,820,14.0,19.5,0.505167173,0.79090029,1.179926561
1908,88.66,24.35403839,503,450,370.0,993.0,882.0,1053,591,288,872.0,613,916,10.5,15.0,0.511530398,0.888217523,1.193877551
1755,82.31,26.72380906,495,447,390.0,1042.0,888.0,1035,598,265,761.0,540,851,15.0,18.0,0.536752137,0.852207294,1.165540541
1816,93.2,28.26078519,505,438,374.0,1027.0,914.0,1061,626,277,833.0,589,878,20.0,24.0,0.495594714,0.889970789,1.16083151
1735,70.98,23.57963275,436,421,378.0,991.0,843.0,970,569,257,771.0,534,798,15.5,11.5,0.535446686,0.850655903,1.150652432
1780,104.08,32.8493877,543,534,395.0,1095.0,963.0,1154,627,287,779.0,578,875,13.0,22.5,0.505617978,0.879452055,1.198338525
1625,76.64,29.02343195,494,429,389.0,1048.0,992.0,1026,631,252,722.0,509,814,19.5,27.0,0.528615385,0.946564885,1.034274194
1831,79.37,23.67443874,503,469,362.0,990.0,849.0,1026,552,274,832.0,572,878,11.5,12.0,0.52321136,0.857575758,1.208480565
1760,83.9,27.08548554,505,429,379.0,1029.0,891.0,1019,609,256,785.0,558,850,11.0,12.5,0.510795455,0.865889213,1.14365881
1630,80.27,30.21190109,504,458,375.0,1026.0,962.0,1042,621,252,737.0,535,794,21.0,32.0,0.506748466,0.937621832,1.083160083
1673,92.97,33.21627665,542,495,396.0,1107.0,922.0,1065,669,262,729.0,542,840,19.0,26.5,0.534369396,0.832881662,1.155097614
1840,89.8,26.52410208,500,451,387.0,1047.0,962.0,1119,602,267,832.0,592,874,13.0,16.5,0.519021739,0.918815664,1.163201663
1842,119.73,35.28773073,568,520,415.0,1149.0,1075.0,1245,689,281,798.0,587,901,28.0,28.0,0.523344191,0.935596171,1.158139535
1683,71.88,25.3769741,497,423,350.0,981.0,761.0,950,601,255,777.0,542,829,6.0,8.5,0.521687463,0.775739042,1.248357424
1818,80.73,24.4257099,495,454,384.0,1059.0,807.0,986,625,272,817.0,557,870,10.5,12.0,0.52420242,0.76203966,1.22180917
1799,83.67,25.85279142,496,432,394.0,1065.0,964.0,1014,612,257,835.0,572,831,13.5,19.5,0.505280712,0.905164319,1.05186722
1730,73.47,24.54809716,463,410,368.0,988.0,771.0,952,614,257,767.0,532,825,7.5,8.5,0.528323699,0.780364372,1.234760052
1805,75.28,23.10602282,499,433,368.0,985.0,845.0,949,572,251,803.0,551,862,7.5,10.0,0.540166205,0.85786802,1.123076923
1750,77.78,25.39755102,489,430,366.0,1028.0,887.0,994,604,266,809.0,568,856,13.0,16.5,0.504,0.862840467,1.120631342
1981,86.39,22.01377498,487,437,388.0,1035.0,879.0,950,586,289,962.0,657,931,14.5,14.0,0.487632509,0.849275362,1.080773606
1753,156.69,50.98911197,658,593,635.0,1834.0,1702.0,1569,941,321,756.0,585,897,42.0,56.0,0.513976041,0.928026172,0.921856639
1631,85.49,32.1371526,493,463,394.0,1076.0,961.0,1091,633,258,715.0,520,823,15.0,17.5,0.51563458,0.893122677,1.135275754
1775,74.83,23.75084309,468,427,375.0,1018.0,824.0,894,634,256,785.0,538,839,15.0,8.0,0.533521127,0.809430255,1.084951456
1739,78.68,26.01747748,480,413,374.0,1032.0,858.0,963,589,269,779.0,546,837,17.5,19.5,0.529039678,0.831395349,1.122377622
1842,89.57,26.39874753,504,465,394.0,1042.0,899.0,1055,649,275,856.0,587,906,9.5,15.0,0.523344191,0.862763916,1.17352614
1737,86.85,28.78526195,517,455,406.0,1070.0,841.0,1046,665,271,809.0,575,895,12.0,19.0,0.502590674,0.785981308,1.243757432
1749,90.48,29.57828389,522,455,411.0,1090.0,951.0,1102,665,260,801.0,567,876,12.0,19.0,0.510577473,0.872477064,1.158780231
1857,107.71,31.23433172,531,466,428.0,1135.0,1103.0,1188,674,278,851.0,606,897,15.0,34.0,0.506731287,0.971806167,1.077062557
1901,101.81,28.17255294,496,426,385.0,1053.0,979.0,1113,639,272,856.0,598,885,13.5,18.0,0.508153603,0.929724596,1.136874362
1925,86.85,23.43734188,494,453,358.0,1012.0,901.0,975,597,274,918.0,616,888,11.0,19.0,0.489350649,0.890316206,1.082130966
1814,126.76,38.52189695,599,541,447.0,1217.0,1118.0,1292,729,274,785.0,587,914,21.5,40.0,0.513781698,0.918652424,1.155635063
1810,88.44,26.99551296,503,470,368.0,1046.0,894.0,1043,621,284,797.0,567,857,12.0,14.5,0.529834254,0.854684512,1.166666667
