weight,stature,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
575.0,1657.0,353.0,371.0,178.0,702.0,291.0
699.0,1653.0,357.0,370.0,225.0,856.0,275.0
466.0,1654.0,320.0,356.0,218.0,703.0,225.0
591.0,1500.0,340.0,357.0,239.0,905.0,282.0
611.0,1603.0,354.0,365.0,210.0,775.0,273.0
492.0,1529.0,332.0,344.0,210.0,705.0,257.0
577.0,1669.0,359.0,358.0,221.0,694.0,284.0
764.0,1770.0,414.0,383.0,233.0,837.0,308.0
550.0,1625.0,349.0,357.0,247.0,692.0,270.0
600.0,1596.0,355.0,371.0,237.0,768.0,281.0
476.0,1492.0,324.0,338.0,246.0,729.0,245.0
817.0,1695.0,399.0,364.0,226.0,921.0,325.0
578.0,1667.0,327.0,353.0,248.0,737.0,287.0
554.0,1580.0,369.0,364.0,224.0,758.0,246.0
598.0,1624.0,331.0,374.0,203.0,796.0,286.0
564.0,1562.0,349.0,347.0,237.0,803.0,280.0
573.0,1534.0,367.0,330.0,202.0,731.0,277.0
517.0,1627.0,341.0,368.0,240.0,738.0,258.0
603.0,1542.0,369.0,378.0,204.0,774.0,297.0
647.0,1582.0,375.0,373.0,237.0,867.0,288.0
503.0,1514.0,325.0,328.0,219.0,823.0,260.0
594.0,1608.0,362.0,359.0,213.0,817.0,275.0
661.0,1667.0,368.0,367.0,204.0,773.0,292.0
592.0,1601.0,326.0,382.0,199.0,813.0,268.0
516.0,1534.0,326.0,358.0,216.0,732.0,265.0
549.0,1636.0,350.0,365.0,232.0,742.0,248.0
455.0,1585.0,303.0,355.0,216.0,686.0,230.0
577.0,1557.0,380.0,333.0,198.0,688.0,264.0
708.0,1663.0,365.0,391.0,252.0,923.0,296.0
610.0,1578.0,355.0,352.0,210.0,851.0,288.0
594.0,1675.0,368.0,358.0,238.0,741.0,264.0
500.0,1637.0,328.0,367.0,234.0,712.0,230.0
477.0,1568.0,321.0,347.0,229.0,710.0,250.0
605.0,1551.0,348.0,357.0,197.0,773.0,293.0
483.0,1485.0,328.0,350.0,171.0,653.0,266.0
598.0,1652.0,346.0,358.0,230.0,791.0,273.0
754.0,1695.0,381.0,376.0,257.0,909.0,304.0
506.0,1533.0,334.0,368.0,200.0,755.0,274.0
472.0,1547.0,326.0,329.0,211.0,665.0,255.0
556.0,1555.0,345.0,341.0,207.0,808.0,269.0
777.0,1787.0,385.0,386.0,260.0,870.0,306.0
559.0,1560.0,357.0,367.0,188.0,685.0,290.0
610.0,1631.0,345.0,367.0,242.0,788.0,276.0
678.0,1610.0,375.0,354.0,220.0,846.0,295.0
695.0,1597.0,378.0,363.0,255.0,946.0,299.0
631.0,1652.0,344.0,378.0,208.0,829.0,276.0
613.0,1606.0,335.0,357.0,253.0,828.0,270.0
513.0,1518.0,343.0,343.0,214.0,722.0,282.0
703.0,1589.0,378.0,357.0,206.0,888.0,327.0
591.0,1501.0,346.0,355.0,230.0,916.0,295.0
649.0,1579.0,358.0,322.0,213.0,832.0,311.0
603.0,1602.0,370.0,360.0,218.0,833.0,266.0
586.0,1592.0,360.0,373.0,181.0,758.0,297.0
666.0,1785.0,335.0,378.0,264.0,825.0,266.0
546.0,1616.0,329.0,352.0,227.0,776.0,267.0
525.0,1550.0,323.0,322.0,190.0,772.0,267.0
650.0,1560.0,372.0,369.0,218.0,826.0,297.0
