Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1512,41.5,18.15283727,347,326,333.0,833.0,660.0,794,456,215,705.0,467,747,9.0,13.0,0.521825397,0.792316927,1.203030303
1542,48.98,20.59918478,384,338,353.0,897.0,660.0,847,510,231,696.0,474,709,18.0,7.0,0.533722438,0.735785953,1.283333333
1624,58.96,22.3555534,408,364,394.0,983.0,746.0,860,550,224,703.0,485,727,21.0,29.0,0.551108374,0.758901322,1.152815013
1519,64.85,28.10570171,429,383,398.0,1015.0,848.0,1006,552,234,667.0,491,733,32.0,38.0,0.535878868,0.83546798,1.186320755
1474,59.18,27.23829968,399,401,383.0,969.0,763.0,942,565,228,648.0,446,729,24.5,16.0,0.55156038,0.787409701,1.234600262
1504,64.63,28.57185802,436,389,383.0,986.0,884.0,1042,557,240,668.0,466,748,24.0,30.0,0.534574468,0.896551724,1.178733032
1574,76.87,31.02754578,428,425,425.0,1091.0,893.0,1062,669,234,693.0,479,750,34.5,34.0,0.543837357,0.818515124,1.18924972
1530,53.51,22.85872955,392,349,371.0,920.0,664.0,846,513,220,704.0,474,725,16.0,17.0,0.520915033,0.72173913,1.274096386
1678,75.96,26.97745912,437,404,423.0,1108.0,886.0,1069,604,234,776.0,533,822,27.0,18.0,0.511918951,0.799638989,1.206546275
1655,156.46,57.12251622,525,565,650.0,1645.0,1294.0,1408,906,282,725.0,529,865,63.0,64.0,0.527492447,0.78662614,1.088098918
1563,53.51,21.9036754,382,378,393.0,974.0,659.0,832,555,227,693.0,482,734,13.0,18.5,0.556621881,0.676591376,1.262518968
1611,60.77,23.4152153,422,396,384.0,943.0,732.0,867,549,229,738.0,494,757,13.0,26.0,0.530105525,0.776246023,1.18442623
1605,73.7,28.60997079,426,418,417.0,1088.0,846.0,973,663,255,724.0,504,779,11.0,21.0,0.533333333,0.777573529,1.150118203
1604,39.23,15.24788403,348,310,318.0,800.0,563.0,791,413,245,752.0,500,717,4.0,4.0,0.525561097,0.70375,1.404973357
1604,66.89,25.99875001,403,399,392.0,1018.0,917.0,991,601,237,724.0,494,748,24.5,39.5,0.540523691,0.900785855,1.080697928
1703,76.19,26.2705205,409,361,448.0,1117.0,736.0,942,645,242,795.0,534,845,20.0,19.0,0.516735173,0.658907789,1.279891304
1523,44.44,19.15906203,382,319,335.0,868.0,624.0,781,486,230,674.0,457,717,13.0,10.5,0.546946815,0.718894009,1.251602564
1614,121.32,46.57204848,467,496,532.0,1431.0,1090.0,1386,802,257,688.0,487,788,44.5,59.0,0.542131351,0.761705101,1.271559633
1620,67.12,25.57536961,423,366,417.0,1056.0,735.0,940,625,228,740.0,494,784,34.0,25.0,0.533950617,0.696022727,1.278911565
1583,51.93,20.72318447,383,348,356.0,896.0,667.0,805,531,217,695.0,480,754,14.0,17.0,0.548325963,0.744419643,1.206896552
1591,49.66,19.61852517,405,356,360.0,935.0,738.0,825,542,221,713.0,483,760,15.0,16.0,0.541797612,0.789304813,1.117886179
1695,78.0,27.14908502,439,429,431.0,1125.0,828.0,969,688,246,793.0,520,831,35.0,33.0,0.534513274,0.736,1.170289855
1553,64.63,26.79731272,395,390,394.0,990.0,910.0,1019,562,235,707.0,488,740,19.0,35.0,0.523502898,0.919191919,1.11978022
1485,54.42,24.67775397,403,369,369.0,963.0,690.0,918,553,230,704.0,488,745,24.0,30.0,0.511111111,0.716510903,1.330434783
1704,57.37,19.75812229,407,356,371.0,945.0,731.0,874,562,234,804.0,534,803,18.0,13.0,0.508802817,0.773544974,1.195622435
