weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
70.9,165.5,36.2,95.0,90.1,103.5,101.0,62.5,40.2,34.9,21.7,26.6,16.0,11.8,53.3,23.1,78.9,45.6,39.5,24.9,55.0,32.9,135.36630036630038
72.8,172.3,37.0,96.5,93.5,103.4,105.2,60.1,39.9,37.0,23.4,25.6,16.0,14.5,56.4,25.8,83.9,43.4,42.5,25.5,57.3,37.0,131.4982394366197
84.6,167.7,38.8,111.5,107.7,115.4,113.0,70.2,40.9,37.8,20.7,28.0,15.0,14.6,55.2,24.3,80.9,48.1,37.2,29.5,56.4,37.0,152.2121710526316
94.5,165.4,39.1,117.0,111.2,118.4,111.5,73.5,47.6,41.6,23.0,27.7,15.6,13.3,53.5,23.6,76.4,48.5,37.0,32.3,57.7,34.8,154.5
62.7,163.4,34.1,89.5,81.2,99.1,103.9,62.1,38.6,34.8,20.7,26.1,14.7,14.4,56.9,25.4,80.1,41.2,40.1,23.1,53.8,36.5,126.41058394160584
57.8,168.3,35.3,94.4,86.9,93.3,102.0,54.6,32.9,32.5,19.1,23.9,14.1,15.0,60.7,27.4,88.2,41.5,44.0,23.6,55.3,35.6,126.67647058823529
52.4,155.2,36.8,83.3,71.2,90.0,98.2,54.1,34.0,32.0,18.8,25.1,14.8,14.0,53.7,24.5,76.2,43.7,38.1,20.0,57.7,33.4,120.47520661157026
73.2,161.7,37.8,102.5,105.7,105.2,109.8,61.6,37.8,38.5,22.6,25.4,15.9,13.1,53.5,23.6,79.2,46.9,38.7,26.7,53.3,36.0,137.46655518394647
79.1,158.8,39.4,98.2,96.4,108.6,105.0,72.7,44.1,42.1,24.0,30.2,16.9,11.7,48.7,22.3,73.1,44.7,36.2,26.8,55.0,34.7,136.54817518248177
89.4,164.1,39.1,106.0,113.4,117.5,113.3,72.0,44.5,40.3,23.3,30.8,16.6,14.9,51.3,23.1,74.4,51.7,39.0,30.2,58.2,37.3,142.83687943262413
68.9,168.5,35.5,99.1,86.9,97.9,103.6,58.0,37.9,38.0,22.1,25.2,15.4,13.8,54.9,25.4,81.2,44.4,39.0,26.6,55.9,36.8,128.08843537414967
75.8,165.6,38.3,99.4,94.2,102.1,106.1,63.7,44.0,41.8,24.2,29.1,16.1,14.5,52.2,23.5,77.5,47.2,37.6,28.0,55.3,37.1,125.53851851851853
73.1,160.3,39.4,107.1,101.9,104.1,109.2,61.4,40.4,38.9,21.6,28.4,16.5,14.3,52.5,23.9,74.6,47.9,34.0,29.0,56.0,36.0,136.98837209302326
74.8,160.8,36.9,94.5,86.5,113.6,107.1,68.6,43.4,39.3,21.4,28.4,16.0,14.4,52.9,24.0,74.3,43.2,37.5,23.2,55.5,37.5,126.78469750889681
80.6,166.4,41.6,109.4,97.5,104.6,112.2,64.5,40.5,39.3,21.8,29.0,16.2,14.9,53.3,24.4,79.5,43.1,35.0,30.3,56.5,39.5,165.23958333333334
71.4,161.9,37.0,93.2,81.4,103.0,110.8,65.2,42.3,41.0,21.2,27.7,16.1,15.8,56.4,24.3,80.7,39.8,38.4,23.8,55.7,39.1,125.47420494699648
71.2,162.0,37.7,101.3,94.7,105.3,112.1,64.6,38.1,35.9,20.0,26.7,15.8,17.2,57.0,26.0,80.8,45.0,42.1,25.2,56.5,40.3,138.96750902527077
65.7,172.0,37.3,91.0,79.4,100.9,103.2,59.8,39.5,36.2,21.7,26.7,16.0,14.9,58.5,26.6,86.9,42.2,42.2,23.0,56.0,37.9,132.84671532846716
47.7,158.2,35.0,79.3,67.9,88.0,95.4,49.3,36.1,33.0,19.9,24.6,14.9,13.2,50.7,22.5,77.4,41.3,37.7,18.9,54.1,34.0,111.14015151515153
69.6,172.0,35.7,95.4,89.0,105.0,108.4,63.7,38.6,36.7,21.5,24.8,15.2,15.2,58.0,24.6,82.3,47.0,40.6,26.7,56.8,37.9,128.84280442804427
119.6,172.0,40.2,116.1,133.4,130.6,114.6,87.0,53.5,48.2,23.8,31.1,16.7,15.7,54.4,24.7,80.4,53.2,40.1,30.0,58.0,34.9,156.16006389776356
88.7,170.1,38.5,113.5,107.6,116.0,113.0,67.4,41.4,40.4,24.2,28.8,16.5,13.6,60.4,25.4,83.7,45.1,41.6,30.3,55.3,37.6,150.47903225806454
75.4,162.7,37.5,109.5,100.7,107.5,108.2,61.4,39.4,36.8,21.1,27.2,15.4,13.9,51.7,23.2,73.7,47.6,37.1,29.6,56.5,35.5,142.5295081967213
67.8,153.6,35.4,101.4,89.7,104.4,109.2,62.3,36.1,38.8,21.8,26.8,15.6,15.7,49.5,22.3,69.4,44.2,35.4,25.9,55.7,37.3,148.44123711340205
60.7,154.6,35.0,94.6,83.2,100.6,107.7,59.8,36.7,35.6,22.0,24.3,14.8,16.0,50.5,22.6,72.3,41.1,33.3,23.8,55.5,38.2,121.62857142857145
57.2,165.4,33.8,81.4,76.6,98.1,97.0,58.3,37.6,35.9,21.3,23.7,14.5,15.1,54.6,25.2,80.3,40.6,41.5,20.8,55.2,35.6,108.109375
68.9,160.5,35.4,94.0,87.8,102.8,109.6,64.5,41.0,39.4,22.1,26.8,14.7,15.4,53.0,23.8,77.4,43.8,38.3,24.2,58.0,38.1,131.46376811594203
71.2,163.0,36.3,98.8,94.3,105.5,107.2,64.9,39.5,39.5,21.7,27.1,15.2,13.8,56.0,23.8,79.4,42.7,40.3,27.6,54.5,35.6,140.089552238806
